#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
11.1%	221000	2210.0000000018185	397.99251578993085	1821.2026562036556	2219.1951719935864	521.5246011230519	2e+04	1:16
11.1%	222000	2220.000000002037	480.30997284660225	1731.4399831152305	2211.7499559618327	495.81991520096807	2e+04	1:16
11.2%	223000	2230.000000002255	430.72558857215336	1677.2640208464243	2107.989609418578	480.30593765626526	2e+04	1:16
11.2%	224000	2240.0000000024734	502.54225198547283	1695.2612179652704	2197.8034699507434	485.4596645173409	2e+04	1:16
11.2%	225000	2250.0000000026916	494.1777872313396	1683.4242572954056	2177.602044526745	482.06999990707243	2e+04	1:16
11.3%	226000	2260.00000000291	535.2540168959094	1694.0805557034785	2229.3345725993877	485.1215668251129	2e+04	1:16
11.3%	227000	2270.000000003128	466.6789136155676	1766.082136634625	2232.7610502501925	505.74013755222813	2e+04	1:16
11.4%	228000	2280.0000000033465	486.49722475012095	1681.2362279301271	2167.733452680248	481.443429800728	2e+04	1:16
11.4%	229000	2290.0000000035648	477.9037910935285	1691.524707527944	2169.4284986214725	484.38966711272434	2e+04	1:16
11.5%	230000	2300.000000003783	430.57866753224516	1829.459970764983	2260.0386382972283	523.8891884292887	2e+04	1:16
11.6%	231000	2310.0000000040013	543.6134635819005	1754.7140263822937	2298.3274899641942	502.484734236911	2e+04	1:16
11.6%	232000	2320.0000000042196	454.6784301015796	1798.6002194336104	2253.27864953519	515.0521051705813	2e+04	1:16
11.7%	233000	2330.000000004438	440.7548377155399	1792.8683786146598	2233.6232163301997	513.4107194705213	2e+04	1:16
11.7%	234000	2340.000000004656	432.179076503704	1745.9081882764194	2178.0872647801234	499.96307021996216	2e+04	1:16
11.8%	235000	2350.0000000048744	395.6270119672091	1790.7165051583343	2186.3435171255433	512.7945030696969	2e+04	1:16
11.8%	236000	2360.0000000050927	492.1937344691469	1680.5258663903464	2172.7196008594933	481.24000871662986	2e+04	1:16
11.8%	237000	2370.000000005311	470.5660794488358	1760.4505984638965	2231.016677912732	504.12747479435546	2e+04	1:16
11.9%	238000	2380.0000000055293	484.27852818442625	1748.2009098307703	2232.4794380151966	500.61962026948356	2e+04	1:16
11.9%	239000	2390.0000000057476	497.6145377577559	1764.9444546693069	2262.5589924270625	505.41434781589857	2e+04	1:16
12.0%	240000	2400.000000005966	506.8066340955411	1825.750890757875	2332.557524853416	522.8270460781059	2e+04	1:15
12.1%	241000	2410.000000006184	496.61721089690036	1700.0541468442318	2196.671357741132	486.83218081216233	2e+04	1:15
12.1%	242000	2420.0000000064024	432.24983347542866	1815.9965465905957	2248.2463800660244	520.033765256925	2e+04	1:15
12.2%	243000	2430.0000000066207	480.15935312791225	1802.7745016426454	2282.9338547705574	516.2474641036614	2e+04	1:15
12.2%	244000	2440.000000006839	455.82023617082086	1826.7503938453137	2282.5706300161346	523.11326653096	2e+04	1:15
12.2%	245000	2450.000000007057	479.3178125906725	1729.1790430806366	2208.4968556713093	495.17246619484666	2e+04	1:15
12.3%	246000	2460.0000000072755	495.7271307837076	1713.3316992167581	2209.0588300004656	490.6343772241787	2e+04	1:15
12.3%	247000	2470.000000007494	524.1508358098799	1716.9900192439864	2241.1408550538663	491.68198380792796	2e+04	1:15
12.4%	248000	2480.000000007712	472.8712293976017	1767.9124346369301	2240.7836640345317	506.264266721674	2e+04	1:15
12.4%	249000	2490.0000000079303	456.21382232999713	1799.8341714700555	2256.0479938000526	515.4054630692314	2e+04	1:15
12.5%	250000	2500.0000000081486	407.89917837168105	1817.1324438266822	2225.031622198363	520.3590439132837	2e+04	1:15
